Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link,-0.0098748,-0.001444,0.16415,0,0,0,17,0.028664,-2.4781E-13,1.6775E-13,0.033676,-4.1184E-05,0.038394,0,0,0,0,0,0,package://selfbalancerobot/meshes/body_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://selfbalancerobot/meshes/body_link.STL,,Body-1,body_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel_link,-0.005,0.00020528,0.0002636,0,0,0,4.25,0.028901,-5.1356E-19,1.9979E-19,0.052771,0.00020831,0.028903,0,0,0,0,0,0,package://selfbalancerobot/meshes/right_wheel_link.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://selfbalancerobot/meshes/right_wheel_link.STL,,ZLLG80-2,right_coord,Axis1,right_wheel_joint,continuous,0,-0.18,0,0,0,0,body_link,0,0.99996,0.0087265,,,,,,,,,,,,
left_wheeL_link,-0.005,-0.00020528,-0.0002636,0,0,0,4.25,0.028901,5.5774E-18,-2.3463E-19,0.052771,0.00020831,0.028903,0,0,0,0,0,0,package://selfbalancerobot/meshes/left_wheeL_link.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://selfbalancerobot/meshes/left_wheeL_link.STL,,ZLLG80-1,left_coord,Axis1,left_wheeL_joint,continuous,0,0.18,0,0,0,0,body_link,0,0.99996,0.0087265,,,,,,,,,,,,
imu_link,0,1.1083E-05,-0.00127,0,0,0,0.001524,5.1619E-08,7.8021E-23,1.5757E-24,1.1512E-07,-4.3614E-10,1.651E-07,0,0,0,0,0,0,package://selfbalancerobot/meshes/imu_link.STL,0,0.24706,0.98824,1,0,0,0,0,0,0,package://selfbalancerobot/meshes/imu_link.STL,,imu-1,imu_coord,Axis_imu_joint4,imu_joint,prismatic,-0.01,8.4903E-05,-0.0088126,0,0,0,body_link,0,0.0087265,-0.99996,0,0,0,0,,,,,,,,
